identity,vlan,cidr,network,prefix,gateway,pool,pool_start,pool_end,first_usable,last_usable,broadcast
EWT_123,1438,192.168.154.160/27,192.168.154.160,27,192.168.154.161,192.168.154.162-192.168.154.190,192.168.154.162,192.168.154.190,192.168.154.161,192.168.154.190,192.168.154.191
EWT_124,1439,192.168.154.192/27,192.168.154.192,27,192.168.154.193,192.168.154.194-192.168.154.222,192.168.154.194,192.168.154.222,192.168.154.193,192.168.154.222,192.168.154.223
EWT_125,1440,192.168.154.224/27,192.168.154.224,27,192.168.154.225,192.168.154.226-192.168.154.254,192.168.154.226,192.168.154.254,192.168.154.225,192.168.154.254,192.168.154.255
EWT_201,1441,192.168.155.0/27,192.168.155.0,27,192.168.155.1,192.168.155.2-192.168.155.30,192.168.155.2,192.168.155.30,192.168.155.1,192.168.155.30,192.168.155.31
EWT_202,1442,192.168.155.32/27,192.168.155.32,27,192.168.155.33,192.168.155.34-192.168.155.62,192.168.155.34,192.168.155.62,192.168.155.33,192.168.155.62,192.168.155.63
EWT_203,1443,192.168.155.64/27,192.168.155.64,27,192.168.155.65,192.168.155.66-192.168.155.94,192.168.155.66,192.168.155.94,192.168.155.65,192.168.155.94,192.168.155.95
EWT_204,1444,192.168.155.96/27,192.168.155.96,27,192.168.155.97,192.168.155.98-192.168.155.126,192.168.155.98,192.168.155.126,192.168.155.97,192.168.155.126,192.168.155.127
EWT_205,1445,192.168.155.128/27,192.168.155.128,27,192.168.155.129,192.168.155.130-192.168.155.158,192.168.155.130,192.168.155.158,192.168.155.129,192.168.155.158,192.168.155.159
EWT_206,1446,192.168.155.160/27,192.168.155.160,27,192.168.155.161,192.168.155.162-192.168.155.190,192.168.155.162,192.168.155.190,192.168.155.161,192.168.155.190,192.168.155.191
EWT_207,1447,192.168.155.192/27,192.168.155.192,27,192.168.155.193,192.168.155.194-192.168.155.222,192.168.155.194,192.168.155.222,192.168.155.193,192.168.155.222,192.168.155.223
EWT_208,1448,192.168.155.224/27,192.168.155.224,27,192.168.155.225,192.168.155.226-192.168.155.254,192.168.155.226,192.168.155.254,192.168.155.225,192.168.155.254,192.168.155.255
EWT_214L,1449,192.168.156.0/27,192.168.156.0,27,192.168.156.1,192.168.156.2-192.168.156.30,192.168.156.2,192.168.156.30,192.168.156.1,192.168.156.30,192.168.156.31
EWT_214R,1450,192.168.156.32/27,192.168.156.32,27,192.168.156.33,192.168.156.34-192.168.156.62,192.168.156.34,192.168.156.62,192.168.156.33,192.168.156.62,192.168.156.63
EWT_217L,1451,192.168.156.64/27,192.168.156.64,27,192.168.156.65,192.168.156.66-192.168.156.94,192.168.156.66,192.168.156.94,192.168.156.65,192.168.156.94,192.168.156.95
EWT_217R,1452,192.168.156.96/27,192.168.156.96,27,192.168.156.97,192.168.156.98-192.168.156.126,192.168.156.98,192.168.156.126,192.168.156.97,192.168.156.126,192.168.156.127
EWT_223,1453,192.168.156.128/27,192.168.156.128,27,192.168.156.129,192.168.156.130-192.168.156.158,192.168.156.130,192.168.156.158,192.168.156.129,192.168.156.158,192.168.156.159
EWT_224,1454,192.168.156.160/27,192.168.156.160,27,192.168.156.161,192.168.156.162-192.168.156.190,192.168.156.162,192.168.156.190,192.168.156.161,192.168.156.190,192.168.156.191
EWT_225,1455,192.168.156.192/27,192.168.156.192,27,192.168.156.193,192.168.156.194-192.168.156.222,192.168.156.194,192.168.156.222,192.168.156.193,192.168.156.222,192.168.156.223
